"Player","Team","ATT","CMP","YDS","TDS","INTS","RATT","RYDS","RTDS","FL","FPTS"
" ","","","","","","","","","","",""
"Patrick Mahomes","KC","64.9","406.2","356.8","3.2","11.2","64.9","356.8","3.2","1.9","384.0"
"Josh Allen","BUF","116.6","364.1","659.9","6.2","14.2","116.6","659.9","6.2","4.2","380.9"
"Jalen Hurts","PHI","157.5","318.0","800.1","11.0","10.1","157.5","800.1","11.0","2.9","376.2"
"Lamar Jackson","BAL","148.6","305.8","941.0","5.5","11.6","148.6","941.0","5.5","3.0","351.1"
"Joe Burrow","CIN","63.8","402.0","269.1","3.7","12.9","63.8","269.1","3.7","2.3","346.0"
"Justin Fields","CHI","153.0","257.1","1,028.9","6.8","12.7","153.0","1,028.9","6.8","3.3","327.1"
"Justin Herbert","LAC","57.2","421.6","220.8","2.0","12.7","57.2","220.8","2.0","2.0","321.6"
"Deshaun Watson","CLE","97.1","324.1","485.6","4.1","10.8","97.1","485.6","4.1","1.8","311.4"
"Dak Prescott","DAL","58.8","364.1","251.3","2.4","13.8","58.8","251.3","2.4","3.1","300.9"
"Trevor Lawrence","JAC","62.5","378.6","285.3","3.9","12.2","62.5","285.3","3.9","5.2","300.6"
"Kirk Cousins","MIN","31.6","395.1","92.1","1.5","12.3","31.6","92.1","1.5","2.8","300.1"
"Daniel Jones","NYG","109.6","337.4","637.4","4.9","10.0","109.6","637.4","4.9","4.1","298.6"
"Geno Smith","SEA","62.2","370.7","323.1","2.0","11.3","62.2","323.1","2.0","3.5","296.1"
"Aaron Rodgers","NYJ","35.2","361.4","120.1","1.5","8.5","35.2","120.1","1.5","2.6","281.0"
"Tua Tagovailoa","MIA","43.1","350.4","133.3","1.7","12.3","43.1","133.3","1.7","1.8","280.5"
"Russell Wilson","DEN","63.4","321.5","317.3","2.6","10.9","63.4","317.3","2.6","2.1","279.6"
"Jared Goff","DET","31.2","373.4","80.7","1.2","11.0","31.2","80.7","1.2","3.5","276.3"
"Anthony Richardson","IND","135.8","302.3","611.9","4.3","13.1","135.8","611.9","4.3","2.3","271.0"
"Derek Carr","NO","34.1","336.9","115.2","1.0","11.9","34.1","115.2","1.0","2.6","254.9"
"Jordan Love","GB","43.5","345.4","168.5","1.5","14.5","43.5","168.5","1.5","2.6","252.5"
"Kenny Pickett","PIT","67.0","318.0","421.4","3.6","12.3","67.0","421.4","3.6","1.5","251.8"
"Matthew Stafford","LAR","30.3","348.3","71.3","0.8","13.2","30.3","71.3","0.8","2.8","247.8"
"Brock Purdy","SF","37.8","287.2","118.7","2.1","9.8","37.8","118.7","2.1","1.4","243.2"
"Bryce Young","CAR","51.3","327.3","201.8","1.6","12.9","51.3","201.8","1.6","2.3","238.4"
"Jimmy Garoppolo","LV","29.9","321.4","65.5","1.5","11.9","29.9","65.5","1.5","2.3","228.0"
