"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","105.5","1,236.8","9.9","0.6","287.3"
"Mark Andrews","BAL","74.8","884.1","6.4","0.2","202.9"
"T.J. Hockenson","MIN","80.9","833.4","5.7","0.5","197.5"
"Darren Waller","NYG","67.4","824.8","5.0","0.3","179.1"
"George Kittle","SF","59.8","766.2","5.7","0.5","170.7"
"Kyle Pitts","ATL","59.5","789.9","4.0","0.1","162.3"
"Dallas Goedert","PHI","64.2","738.2","4.1","0.5","161.7"
"Evan Engram","JAC","62.6","653.6","3.6","0.2","150.0"
"Pat Freiermuth","PIT","59.9","635.9","4.1","0.2","147.6"
"Tyler Higbee","LAR","60.9","576.8","3.4","0.1","138.7"
"Dalton Schultz","HOU","56.0","575.1","4.2","0.5","137.5"
"David Njoku","CLE","52.3","576.4","4.3","0.4","135.6"
"Chigoziem Okonkwo","TEN","47.0","571.3","3.7","0.1","129.2"
"Gerald Everett","LAC","50.7","523.5","3.7","0.3","124.8"
"Cole Kmet","CHI","47.2","515.9","4.2","0.2","124.1"
"Greg Dulcich","DEN","44.9","554.8","3.4","0.1","120.4"
"Dalton Kincaid","BUF","44.6","508.7","4.2","0.4","119.8"
"Sam LaPorta","DET","44.6","485.3","3.7","0.6","114.3"
"Juwan Johnson","NO","40.6","480.6","4.2","0.1","113.7"
"Irv Smith Jr.","CIN","43.4","411.4","4.1","0.1","108.8"
"Hunter Henry","NE","41.1","486.2","2.9","0.1","107.2"
"Noah Fant","SEA","43.9","453.3","2.9","0.1","106.7"
"Hayden Hurst","CAR","46.2","437.9","2.7","0.5","105.3"
"Zach Ertz","ARI","44.7","436.4","2.7","0.1","104.6"
"Cade Otton","TB","45.2","449.2","2.4","0.1","104.2"
"Tyler Conklin","NYJ","45.8","432.6","2.4","0.1","103.8"
"Dawson Knox","BUF","36.8","408.7","3.6","0.2","98.7"
"Logan Thomas","WAS","42.6","404.1","2.1","0.1","95.4"
"Jake Ferguson","DAL","37.5","385.0","3.2","0.1","95.3"
"Jelani Woods","IND","34.7","418.4","2.6","0.1","92.4"
"Mike Gesicki","NE","35.6","406.2","2.7","0.1","91.9"
"Luke Musgrave","GB","36.2","396.0","2.8","0.4","91.6"
"Michael Mayer","LV","37.1","388.6","2.5","0.4","90.5"
"Trey McBride","ARI","35.7","377.7","2.0","0.1","85.3"
"Taysom Hill","NO","14.3","192.5","1.7","1.1","74.0"
"Austin Hooper","LV","28.2","298.7","1.7","0.0","68.1"
"Isaiah Likely","BAL","24.0","289.1","2.0","0.0","64.9"
"Noah Gray","KC","22.2","240.6","1.4","0.0","55.2"
"Luke Schoonmaker","DAL","21.0","236.3","1.5","0.3","53.0"
"Adam Trautman","DEN","20.5","229.4","1.2","0.2","50.6"
"Will Dissly","SEA","20.6","219.4","1.2","0.1","49.7"
"Jonnu Smith","ATL","19.0","217.6","1.2","0.0","48.6"
"Foster Moreau","NO","17.6","241.5","1.2","0.4","48.5"
"Donald Parham Jr.","LAC","17.7","208.3","1.6","0.0","48.2"
"Robert Tonyan","CHI","18.4","206.5","1.4","0.0","47.7"
"C.J. Uzomah","NYJ","19.1","198.6","1.4","0.0","47.6"
"Brock Wright","DET","17.4","183.7","2.0","0.0","47.6"
"Durham Smythe","MIA","20.3","197.7","1.1","0.0","47.0"
"Brenton Strange","JAC","20.4","186.0","1.3","0.3","46.2"
"Kylen Granson","IND","18.9","212.9","0.8","0.0","45.6"
"Josiah Deguara","GB","19.0","177.7","1.0","0.0","42.7"
"Jordan Akins","CLE","15.7","192.4","1.1","0.1","41.2"
"Harrison Bryant","CLE","17.2","179.3","1.0","0.2","41.1"
"Brevin Jordan","HOU","16.0","202.2","0.6","0.0","39.6"
"Josh Oliver","MIN","15.6","156.1","1.2","0.0","38.1"
"Ian Thomas","CAR","17.0","164.6","0.8","0.0","38.1"
"Geoff Swaim","ARI","20.9","124.6","0.7","0.0","37.6"
"Tucker Kraft","GB","14.6","172.2","1.0","0.3","37.4"
"Tommy Tremble","CAR","15.2","144.0","1.4","0.4","37.2"
"Mo Alie-Cox","IND","12.9","166.1","1.3","0.4","36.7"
"Jimmy Graham","NO","14.5","161.6","0.9","0.1","36.3"
"Colby Parkinson","SEA","13.7","165.1","0.8","0.0","35.1"
"Darnell Washington","PIT","13.3","171.9","0.8","0.3","34.5"
"Daniel Bellinger","NYG","13.5","163.0","0.8","0.3","34.2"
"Teagan Quitoriano","HOU","12.3","147.9","1.0","0.1","33.0"
"Elijah Higgins","MIA","11.0","173.4","0.7","0.1","32.4"
"Eric Saubert","MIA","13.7","126.1","0.9","0.0","31.7"
"Lawrence Cager","NYG","11.5","134.0","1.0","0.0","31.3"
"Charlie Kolar","BAL","11.8","138.3","0.8","0.0","30.7"
"Payne Durham","TB","13.9","125.5","0.7","0.4","30.4"
"Blake Bell","KC","11.4","95.1","1.0","0.0","29.1"
"Davis Allen","LAR","15.7","102.6","0.5","0.4","28.1"
"Brycen Hopkins","LAR","10.6","128.3","0.8","0.0","28.0"
"Albert Okwuegbunam","DEN","8.8","146.4","0.8","0.3","28.0"
"John Bates","WAS","11.9","121.5","0.6","0.0","27.9"
"Peyton Hendershot","DAL","9.2","121.1","1.0","0.1","27.7"
"Cameron Latu","SF","11.1","116.3","0.8","0.0","27.4"
"Hunter Long","LAR","10.3","125.5","0.7","0.1","27.0"
"Ko Kieft","TB","10.6","113.8","0.8","0.1","26.6"
"Miller Forristall","CLE","10.0","105.0","1.0","0.0","26.5"
"Tre' McKitty","LAC","10.6","110.1","0.7","0.0","25.6"
"Dan Arnold","PHI","8.3","127.2","0.7","0.1","25.2"
"Connor Heyward","PIT","9.0","104.5","0.7","0.1","25.0"
"Andrew Ogletree","IND","10.0","88.0","1.0","0.0","24.8"
"Stephen Sullivan","CAR","8.8","117.4","0.6","0.0","24.4"
"Josh Whyle","TEN","9.2","104.3","0.7","0.0","23.8"
"James Mitchell","DET","8.7","111.7","0.7","0.0","23.7"
"Zach Gentry","PIT","10.9","94.7","0.5","0.0","23.6"
