"Player","Team","REC","YDS","TDS","RATT","RYDS","RTDS","FL","FPTS"
" ","","",""
"Justin Jefferson","MIN","110.9","1,523.6","8.3","3.7","19.0","0.3","0.3","316.2"
"Ja'Marr Chase","CIN","105.9","1,390.0","10.2","4.9","24.0","0.1","1.1","306.6"
"Cooper Kupp","LAR","107.2","1,336.2","8.3","8.1","73.7","0.8","0.8","301.1"
"Tyreek Hill","MIA","105.5","1,395.5","8.0","9.2","55.7","0.6","0.4","301.1"
"CeeDee Lamb","DAL","99.0","1,294.4","7.7","8.7","55.8","0.3","0.3","281.0"
"Stefon Diggs","BUF","97.2","1,274.3","8.4","0.6","3.2","0.0","0.4","274.4"
"Davante Adams","LV","93.6","1,260.5","8.4","1.8","7.6","0.1","0.3","270.9"
"Amon-Ra St. Brown","DET","101.3","1,149.7","5.8","8.1","63.2","0.5","0.2","259.8"
"A.J. Brown","PHI","77.8","1,195.1","8.3","0.3","3.8","0.0","0.6","246.6"
"Garrett Wilson","NYJ","85.1","1,156.4","6.6","2.4","6.3","0.0","0.8","239.4"
"Jaylen Waddle","MIA","79.8","1,155.5","6.4","4.1","34.0","0.3","0.7","237.3"
"Chris Olave","NO","82.3","1,155.5","5.8","0.0","0.1","0.0","1.3","230.3"
"Tee Higgins","CIN","80.5","1,081.7","6.7","0.5","2.4","0.0","0.3","228.3"
"DK Metcalf","SEA","82.4","1,023.3","7.2","0.1","1.1","0.0","0.8","226.6"
"DeVonta Smith","PHI","82.9","1,050.0","6.4","0.0","0.1","0.0","0.6","224.8"
"Keenan Allen","LAC","90.6","1,000.4","5.7","1.3","7.4","0.0","0.6","224.4"
"Calvin Ridley","JAC","80.7","1,023.0","6.6","2.2","7.7","0.0","0.5","222.3"
"Deebo Samuel","SF","68.4","887.2","4.1","42.3","253.4","2.4","1.4","218.5"
"Amari Cooper","CLE","72.6","1,025.5","7.0","0.5","1.6","0.0","0.1","216.9"
"Christian Watson","GB","69.4","964.3","6.2","8.5","68.7","1.0","0.2","215.4"
"Chris Godwin","TB","89.7","965.7","4.1","2.7","13.4","0.1","0.7","211.5"
"DeAndre Hopkins","TEN","78.1","995.2","5.4","0.2","1.2","0.0","0.8","208.3"
"Mike Evans","TB","71.5","993.0","5.8","0.0","6.8","0.0","0.1","206.2"
"Terry McLaurin","WAS","72.2","1,017.9","4.8","3.3","20.1","0.1","0.2","204.7"
"Mike Williams","LAC","70.3","977.7","6.0","1.0","4.5","0.0","0.1","204.3"
"DJ Moore","CHI","67.1","943.4","6.5","6.0","37.1","0.1","0.3","204.1"
"Christian Kirk","JAC","74.2","919.6","5.9","3.5","21.0","0.1","0.5","203.1"
"Tyler Lockett","SEA","75.8","904.1","5.8","0.2","0.7","0.0","0.6","199.7"
"Diontae Johnson","PIT","80.5","914.2","4.3","4.6","25.2","0.0","0.5","199.1"
"Marquise Brown","ARI","77.8","913.2","4.9","1.4","8.4","0.0","0.3","198.9"
"Drake London","ATL","75.8","938.0","5.5","0.0","0.1","0.0","1.8","198.8"
"Jerry Jeudy","DEN","65.7","961.1","5.0","1.6","14.9","0.0","0.2","193.0"
"Brandon Aiyuk","SF","64.7","895.4","5.4","2.7","18.5","0.2","0.6","188.6"
"Michael Pittman Jr.","IND","75.8","858.0","4.1","2.4","20.8","0.0","0.5","187.3"
"Jahan Dotson","WAS","60.0","841.1","6.0","2.4","8.3","0.1","0.2","180.9"
"JuJu Smith-Schuster","NE","72.5","801.2","3.9","0.2","1.0","0.1","0.7","174.8"
"George Pickens","PIT","56.3","837.9","5.1","2.8","18.0","0.4","0.2","174.3"
"Brandin Cooks","DAL","62.0","813.6","4.7","3.0","19.5","0.1","0.1","174.2"
"Jordan Addison","MIN","60.9","813.4","5.0","2.5","14.1","0.1","0.7","172.5"
"Gabe Davis","BUF","51.6","825.7","6.5","0.1","0.7","0.0","0.4","172.3"
"Michael Thomas","NO","67.4","770.4","4.6","0.3","1.2","0.0","0.2","171.6"
"Treylon Burks","TEN","58.0","795.7","4.0","6.9","52.9","0.1","0.2","166.9"
"Courtland Sutton","DEN","59.9","810.7","4.2","0.5","2.7","0.0","0.1","166.5"
"Jaxon Smith-Njigba","SEA","57.1","770.1","4.5","1.2","8.5","0.0","0.7","161.0"
"Zay Flowers","BAL","54.6","749.8","4.8","2.1","14.6","0.1","0.7","159.0"
"Jakobi Meyers","LV","62.5","749.4","3.7","1.1","3.8","0.0","0.7","158.9"
"Rondale Moore","ARI","67.0","691.0","2.2","13.9","61.2","0.2","0.4","155.5"
"Nico Collins","HOU","56.8","722.7","4.4","0.0","0.2","0.0","0.1","155.0"
"Allen Lazard","NYJ","54.6","689.4","4.7","2.1","12.4","0.0","0.1","153.2"
"Tyler Boyd","CIN","58.2","709.4","3.9","1.5","8.8","0.0","0.2","153.0"
"Kadarius Toney","KC","51.2","583.9","4.1","10.2","102.3","1.3","0.6","150.8"
"Zay Jones","JAC","60.3","663.0","3.9","1.9","8.5","0.0","0.2","150.7"
"Odell Beckham","BAL","50.8","672.3","4.4","1.6","19.2","0.2","0.2","147.4"
"Romeo Doubs","GB","56.2","662.3","4.2","0.7","6.4","0.0","0.7","146.9"
"Darnell Mooney","CHI","52.3","665.5","3.9","2.0","9.9","0.1","0.1","143.8"
"Michael Gallup","DAL","49.8","658.7","4.6","0.0","0.2","0.0","0.1","142.8"
"Adam Thielen","CAR","53.8","626.9","4.2","0.6","4.1","0.0","0.1","141.9"
"Hunter Renfrow","LV","60.6","599.7","3.5","0.4","3.8","0.0","0.6","140.9"
"Quentin Johnston","LAC","47.9","688.3","3.9","2.5","14.0","0.1","0.7","140.6"
"DJ Chark","CAR","45.3","705.0","3.8","0.1","1.4","0.0","0.1","138.6"
"Skyy Moore","KC","49.9","643.1","3.9","5.5","33.7","0.2","2.1","138.1"
"Marquez Valdes-Scantling","KC","42.2","688.7","4.2","0.7","1.9","0.0","0.1","136.0"
"DeVante Parker","NE","46.0","669.0","3.7","0.0","0.2","0.0","0.1","135.0"
"Jonathan Mingo","CAR","47.7","661.0","3.3","1.2","13.1","0.1","0.4","134.4"
"Curtis Samuel","WAS","47.9","521.7","2.6","25.7","139.4","0.8","0.5","133.5"
"K.J. Osborn","MIN","48.6","559.2","4.2","3.0","14.5","0.1","0.2","131.4"
"Elijah Moore","CLE","44.3","600.3","3.3","6.2","30.9","0.3","0.1","128.3"
"Jayden Reed","GB","47.0","614.1","3.2","2.3","15.6","0.1","0.7","127.9"
"Van Jefferson","LAR","42.0","608.4","3.9","0.7","5.1","0.0","0.1","126.5"
"Donovan Peoples-Jones","CLE","43.0","638.6","3.1","0.4","0.5","0.0","0.6","124.2"
"Robert Woods","HOU","52.2","534.2","2.5","4.2","21.1","0.2","0.4","123.1"
"Isaiah Hodgins","NYG","46.0","512.6","4.5","0.0","0.6","0.0","0.6","122.9"
"Russell Gage","TB","60.5","509.1","1.8","0.7","1.8","0.0","0.3","122.2"
"Mecole Hardman Jr.","NYJ","42.3","505.1","3.0","7.9","60.7","0.8","0.8","120.0"
"Alec Pierce","IND","42.7","620.7","2.6","0.0","0.2","0.0","0.2","120.0"
"Rashod Bateman","BAL","40.8","612.5","3.1","0.0","0.2","0.0","0.9","118.9"
